id,title,module,file,desc,trigger
C1,Next-cycle forwarding uses stale writeback,ISU source operand forwarding,src/main/scala/nutcore/backend/seq/ISU.scala,A next-cycle dependency reads the normal writeback port instead of the dedicated forwarding result.,Execute dependent instructions whose producer result is available only through next-cycle forwarding.
C2,Cross-line prediction ignores sequential PC,IFU predicted next-PC selection,src/main/scala/nutcore/frontend/IFU.scala,A cross-line instruction always uses the branch predictor target instead of the sequential next PC.,Fetch a cross-line instruction when the branch predictor supplies a different target.
D2,SUB decoded as ADD,RV32I ALU decode table,src/main/scala/nutcore/isa/RVI.scala,Only the standard 32-bit SUB instruction is mapped to ADD.,Disable RVC and execute SUB with unequal nonzero operands.
D3,SRA decoded as SRL,RV32I ALU decode table,src/main/scala/nutcore/isa/RVI.scala,Only the standard 32-bit SRA instruction is mapped to logical right shift.,Disable RVC and execute SRA on a value with the sign bit set.
D5,SLT decoded as SLTU,RV32I ALU decode table,src/main/scala/nutcore/isa/RVI.scala,Only the standard 32-bit SLT instruction uses unsigned comparison.,Disable RVC and compare -1 with +1 using SLT.
D10,RV64 shifts use a 5-bit shift amount,ALU shifter,src/main/scala/nutcore/backend/fu/ALU.scala,"Non-word RV64 shifts incorrectly ignore src2[5], aliasing shift amounts 32-63 to 0-31.",On RV64 execute SLL with rs1=1 and rs2=32.
D11,LB decoded as LW,RV32I load decode table,src/main/scala/nutcore/isa/RVI.scala,LB is decoded as a signed word load instead of a signed byte load.,Load a byte whose surrounding word contains different upper bytes.
D12,AND executed as OR,ALU logic operation table,src/main/scala/nutcore/backend/fu/ALU.scala,AND returns the bitwise OR of its operands.,Execute AND with operands that have disjoint set bits.
D13,BEQ condition inverted,ALU branch condition table,src/main/scala/nutcore/backend/fu/ALU.scala,BEQ is taken when its operands differ and not taken when they are equal.,Execute BEQ once with equal operands and once with unequal operands.
M2,Divide-by-zero quotient is zero,Divider special-case result,src/main/scala/nutcore/backend/fu/MDU.scala,DIV/DIVU by zero return quotient 0 rather than all ones; REM remains unchanged.,Execute DIV or DIVU with rs2=0.
M3,Quotient sign ignores divisor,Divider quotient sign register,src/main/scala/nutcore/backend/fu/MDU.scala,Signed quotient sign follows only the dividend sign and ignores the divisor sign.,"Execute DIV with positive dividend and negative divisor, e.g. 7 / -3."
M4,Remainder sign follows divisor,Divider remainder sign register,src/main/scala/nutcore/backend/fu/MDU.scala,"For normal signed remainder, the result sign follows the divisor instead of the dividend; divide-by-zero keeps the original dividend sign.","Execute REM with negative dividend and positive divisor, e.g. -7 % 3."
M5,Dividend magnitude uses divisor,Divider operand preprocessing,src/main/scala/nutcore/backend/fu/MDU.scala,The divider derives both operand magnitudes and the dividend sign from the divisor.,Execute DIV or REM with operands having different magnitudes or signs.
M6,Divider runs an extra iteration,Divider iteration controller,src/main/scala/nutcore/backend/fu/MDU.scala,The divider waits for count len instead of len-1 before finishing.,Execute any DIV or REM instruction and observe the incorrect iteration count or result.
M7,Divider valid condition inverted,Divider output handshake,src/main/scala/nutcore/backend/fu/MDU.scala,The divider asserts output valid in every state except the finish state.,Execute DIV or REM and check the output valid handshake.
U8,LH/LHU sign/zero extension swapped,LSExecUnit load extension,src/main/scala/nutcore/backend/fu/UnpipelinedLSU.scala,LH is zero-extended and LHU is sign-extended.,Load halfword 0x8001 with LH or LHU.
U10,Byte offset 1 selects byte 0,LSExecUnit read-data selector,src/main/scala/nutcore/backend/fu/UnpipelinedLSU.scala,A byte load at address offset 1 incorrectly returns the byte at offset 0.,"Store bytes 0x11,0x22 at base+0/base+1; execute LBU base+1."
U12,LB uses bus MSB as sign bit,LSExecUnit load extension,src/main/scala/nutcore/backend/fu/UnpipelinedLSU.scala,LB extends using the full returned bus MSB instead of the selected byte sign bit.,Return a bus word whose selected byte is 0x80 while the bus MSB is 0.
U13,Word access uses a halfword mask,LSU byte-mask generator,src/main/scala/nutcore/backend/fu/LSU.scala,A word-sized memory access enables only two bytes instead of four.,Store a word with nonzero upper halfword and load it back.
U14,LB sign-extends the low word,LSU load extension,src/main/scala/nutcore/backend/fu/LSU.scala,LB sign-extends 32 selected bits rather than the selected byte.,Load a byte while bits 8-31 of the returned word differ from the byte sign extension.
